Name,Latitude,Longitude,Description
Johor,2.050502404501756,103.38991772818682,Tourist attraction in Malaysia.
Kedah,5.945619741913446,100.61688389239325,Tourist attraction in Malaysia.
Kelantan,5.279132832055862,102.02860197199438,Tourist attraction in Malaysia.
Kuala Lumpur,3.1326867975064276,101.68548549480023,Tourist attraction in Malaysia.
Labuan,5.309072198682063,115.21779035274436,Tourist attraction in Malaysia.
Melaka,2.322313800357281,102.30717364075288,Tourist attraction in Malaysia.
Negeri Sembilan,2.7741052608837355,102.20669999790987,Tourist attraction in Malaysia.
Pahang,3.732012605745417,102.54191248718325,Tourist attraction in Malaysia.
Perak,4.77056433468804,101.1076056953036,Tourist attraction in Malaysia.
Perlis,6.505029804357526,100.24207302377866,Tourist attraction in Malaysia.
Pulau Pinang,5.369509775121543,100.39923895618561,Tourist attraction in Malaysia.
Putrajaya,2.9052159260922403,101.68379698611868,Tourist attraction in Malaysia.
Sabah,5.3497546532711135,117.13040312660655,Tourist attraction in Malaysia.
Sarawak,2.594069481515676,113.31073217721429,Tourist attraction in Malaysia.
Selangor,3.270793260598766,101.49887606486703,Tourist attraction in Malaysia.
Trengganu,4.926710838213804,102.95259114277239,Tourist attraction in Malaysia.
